Names	total	elements
EGFR ESR1 SRC STAT3	1	CHEMBL44
EGFR ESR1 MAPK1	3	CHEMBL319244
		CHEMBL290106
		CHEMBL496
EGFR MAPK1 SRC	10	CHEMBL4105329
		CHEMBL4550702
		CHEMBL4446681
		CHEMBL4569508
		CHEMBL4568087
		CHEMBL4062877
		CHEMBL388978
		CHEMBL103667
		CHEMBL1684800
		CHEMBL3884319
EGFR SRC STAT3	1	CHEMBL1448
EGFR ESR1	4	CHEMBL83
		CHEMBL195437
		CHEMBL45068
		CHEMBL954
EGFR MAPK1	18	CHEMBL2312304
		CHEMBL2312303
		CHEMBL280074
		CHEMBL24944
		CHEMBL606964
		CHEMBL2312654
		CHEMBL1952210
		CHEMBL18797
		CHEMBL2312652
		CHEMBL3361128
		CHEMBL2312645
		CHEMBL86754
		CHEMBL12131
		CHEMBL603
		CHEMBL461140
		CHEMBL2312646
		CHEMBL1990583
		CHEMBL2312649
EGFR SRC	477	CHEMBL489058
		CHEMBL437612
		CHEMBL1242666
		CHEMBL1242114
		CHEMBL57347
		CHEMBL353823
		CHEMBL1240545
		CHEMBL169065
		CHEMBL3808884
		CHEMBL4067871
		CHEMBL598797
		CHEMBL310580
		CHEMBL122182
		CHEMBL602890
		CHEMBL486437
		CHEMBL168829
		CHEMBL174634
		CHEMBL4791249
		CHEMBL299026
		CHEMBL1241674
		CHEMBL1242030
		CHEMBL599388
		CHEMBL4560385
		CHEMBL1242198
		CHEMBL83228
		CHEMBL1241482
		CHEMBL1242468
		CHEMBL1242853
		CHEMBL258726
		CHEMBL574059
		CHEMBL1088240
		CHEMBL1242384
		CHEMBL1242471
		CHEMBL155607
		CHEMBL345641
		CHEMBL4442732
		CHEMBL293250
		CHEMBL173478
		CHEMBL118130
		CHEMBL332612
		CHEMBL338155
		CHEMBL1242287
		CHEMBL4446992
		CHEMBL1242378
		CHEMBL1241299
		CHEMBL1241684
		CHEMBL4587811
		CHEMBL1241679
		CHEMBL1241587
		CHEMBL1241774
		CHEMBL327127
		CHEMBL219557
		CHEMBL154969
		CHEMBL299194
		CHEMBL7939
		CHEMBL168661
		CHEMBL1242024
		CHEMBL201511
		CHEMBL81073
		CHEMBL129946
		CHEMBL1242294
		CHEMBL55379
		CHEMBL1241583
		CHEMBL49120
		CHEMBL542887
		CHEMBL420885
		CHEMBL322395
		CHEMBL1241864
		CHEMBL3647967
		CHEMBL4520801
		CHEMBL1242112
		CHEMBL1242664
		CHEMBL1242755
		CHEMBL267019
		CHEMBL432941
		CHEMBL1241948
		CHEMBL201307
		CHEMBL414013
		CHEMBL260861
		CHEMBL347160
		CHEMBL79808
		CHEMBL4591391
		CHEMBL474543
		CHEMBL311959
		CHEMBL1241578
		CHEMBL332333
		CHEMBL1242109
		CHEMBL4457733
		CHEMBL1241682
		CHEMBL1242376
		CHEMBL293261
		CHEMBL1257911
		CHEMBL1421
		CHEMBL27085
		CHEMBL3809489
		CHEMBL488646
		CHEMBL333038
		CHEMBL4075917
		CHEMBL355191
		CHEMBL309682
		CHEMBL1242285
		CHEMBL1233881
		CHEMBL3735648
		CHEMBL477197
		CHEMBL1240566
		CHEMBL288441
		CHEMBL112925
		CHEMBL1242032
		CHEMBL49596
		CHEMBL1242028
		CHEMBL1241859
		CHEMBL355322
		CHEMBL172973
		CHEMBL1242026
		CHEMBL154080
		CHEMBL1242846
		CHEMBL6246
		CHEMBL247866
		CHEMBL169570
		CHEMBL169780
		CHEMBL1241301
		CHEMBL4536115
		CHEMBL495617
		CHEMBL1242753
		CHEMBL1233882
		CHEMBL61119
		CHEMBL121190
		CHEMBL1242286
		CHEMBL4587222
		CHEMBL1241677
		CHEMBL2403108
		CHEMBL50
		CHEMBL8095
		CHEMBL422531
		CHEMBL1241391
		CHEMBL1242750
		CHEMBL57366
		CHEMBL491686
		CHEMBL7775
		CHEMBL1172957
		CHEMBL1242566
		CHEMBL154260
		CHEMBL1242111
		CHEMBL1242118
		CHEMBL60472
		CHEMBL4559065
		CHEMBL104244
		CHEMBL1081312
		CHEMBL475351
		CHEMBL64430
		CHEMBL514016
		CHEMBL2070045
		CHEMBL1241861
		CHEMBL2333163
		CHEMBL1242758
		CHEMBL47940
		CHEMBL355891
		CHEMBL3040861
		CHEMBL321193
		CHEMBL50470
		CHEMBL4448494
		CHEMBL475584
		CHEMBL2441273
		CHEMBL156555
		CHEMBL75188
		CHEMBL156797
		CHEMBL1241944
		CHEMBL1242029
		CHEMBL529663
		CHEMBL1241271
		CHEMBL1242848
		CHEMBL1241491
		CHEMBL432738
		CHEMBL5073622
		CHEMBL1242844
		CHEMBL1241486
		CHEMBL1241580
		CHEMBL1242380
		CHEMBL166766
		CHEMBL1242201
		CHEMBL4798527
		CHEMBL217092
		CHEMBL1242659
		CHEMBL7917
		CHEMBL351920
		CHEMBL436137
