Molecule ChEMBL ID,Smiles,IC50 EGFR,IC50 SRC
CHEMBL29197,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,70.0,1400.0
CHEMBL253292,CCN(CC)CCOc1ccc(Nc2cc(NC(=O)Nc3c(Cl)cccc3Cl)ncn2)cc1,380.0,66.0
CHEMBL301612,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccccc3)nc21,260.0,16.0
CHEMBL45827,CCN(CC)CCCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(NC(=O)NC(C)(C)C)nc2n1,240.0,44.0
CHEMBL263528,NC(=O)CN1CCC(n2cc(-c3cccc(O)c3)c3c(N)ncnc32)CC1,170.0,1.0
CHEMBL2178352,CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccccc5)n(C5CCCC5)c4n3)cc2)CC1,0.4,290.0
CHEMBL1257795,N#Cc1ccc2c(c1)C(c1ccccc1F)=Nc1c[nH]nc1N2,10900.0,5400.0
CHEMBL489058,CCN1CCN(CC/C=C/c2ccc3c(Nc4ccc(Sc5nccn5C)c(Cl)c4)c(C#N)cnc3c2)CC1,10.0,55.0
CHEMBL44,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,1000.0,75000.0
CHEMBL247866,CC(C)Nc1ncnc2oc(-c3ccc(OCCN4CCCC4)cc3)c(-c3ccccc3)c12,1029.0,914.0
CHEMBL1784637,CNC(=O)c1ncc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(CCO)CC4)c(C(F)(F)F)c3)ccc2C)n1C,736.0,4.0
CHEMBL1241949,CC(C)n1nc(-c2ccc3nc(N)ccc3c2)c2c(N)ncnc21,12000.0,7600.0
CHEMBL1242207,CC(C)n1nc(-c2ccc3cnccc3c2)c2c(N)ncnc21,25000.0,800.0
CHEMBL1242755,Nc1ncnc2c1c(-c1cnc3ccccc3c1)nn2C1CCCC1,540.0,716.0
CHEMBL1241683,CC(C)n1nc(-c2ccc3nc(Cl)ccc3c2)c2c(N)ncnc21,100000.0,2700.0
CHEMBL1241578,CC(C)n1nc(-c2ccc(Br)c(O)c2)c2c(N)ncnc21,550.0,10.0
CHEMBL160566,Cn1c(SSc2c(C#N)c3ccccc3n2C)c(C#N)c2ccccc21,6900.0,28000.0
CHEMBL173478,Nc1ncnc2c1c(-c1ccccc1)cn2-c1cccc(CO)c1,12000.0,63.1
CHEMBL369014,CCOC(=O)c1ccc(-c2cn(-c3ccccc3)c3ncnc(N)c23)cc1,1300.0,10000.0
CHEMBL431996,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(C(=O)O)cc32)[nH]c2c1CCCC2,56500.0,60.0
CHEMBL174634,Cc1ccccc1-c1cn(-c2ccccc2)c2ncnc(N)c12,2650.0,6309.57
